"Step","stateleaky - ppl","stateleaky - ppl__MIN","stateleaky - ppl__MAX","leaky - ppl","leaky - ppl__MIN","leaky - ppl__MAX"
"541","","","","327.9697137867724","327.9697137867724","327.9697137867724"
"542","","","","321.2443908545195","321.2443908545195","321.2443908545195"
"544","","","","340.89427780622714","340.89427780622714","340.89427780622714"
"548","","","","320.374587998282","320.374587998282","320.374587998282"
"549","","","","319.30492669272945","319.30492669272945","319.30492669272945"
"550","","","","353.96598959779766","353.96598959779766","353.96598959779766"
"551","","","","325.91041565175124","325.91041565175124","325.91041565175124"
"553","","","","325.2115560525764","325.2115560525764","325.2115560525764"
"554","","","","339.6473905558156","339.6473905558156","339.6473905558156"
"555","","","","335.48075619747186","335.48075619747186","335.48075619747186"
"559","","","","356.4941967846544","356.4941967846544","356.4941967846544"
"562","","","","349.9116912825576","349.9116912825576","349.9116912825576"
"563","","","","344.32690709777324","344.32690709777324","344.32690709777324"
"564","","","","339.326064502528","339.326064502528","339.326064502528"
"565","","","","330.35031115703003","330.35031115703003","330.35031115703003"
"566","","","","323.5895407740196","323.5895407740196","323.5895407740196"
"567","","","","315.0490205021703","315.0490205021703","315.0490205021703"
"569","","","","343.7521895195971","343.7521895195971","343.7521895195971"
"573","","","","327.4771012610862","327.4771012610862","327.4771012610862"
"574","","","","325.9602082108639","325.9602082108639","325.9602082108639"
"575","","","","349.8197107518095","349.8197107518095","349.8197107518095"
