"Step","multi-beta-learn - loss","multi-beta-learn - loss__MIN","multi-beta-learn - loss__MAX","single-beta-no-learn-beta - loss","single-beta-no-learn-beta - loss__MIN","single-beta-no-learn-beta - loss__MAX","single-beta-learn-beta - loss","single-beta-learn-beta - loss__MIN","single-beta-learn-beta - loss__MAX"
"3167","5.301733794700936","5.301733794700936","5.301733794700936","5.198000579517404","5.198000579517404","5.198000579517404","5.216929535056239","5.216929535056239","5.216929535056239"
"3214","5.213637623780469","5.213637623780469","5.213637623780469","","","","5.23582876423958","5.23582876423958","5.23582876423958"
"3215","5.233023632618834","5.233023632618834","5.233023632618834","5.286496037284563","5.286496037284563","5.286496037284563","5.240762578616352","5.240762578616352","5.240762578616352"
"3273","5.263127741611495","5.263127741611495","5.263127741611495","5.261522894294654","5.261522894294654","5.261522894294654","5.179352702770722","5.179352702770722","5.179352702770722"
"3274","5.259582746540262","5.259582746540262","5.259582746540262","5.291840275079271","5.291840275079271","5.291840275079271","5.289106943877787","5.289106943877787","5.289106943877787"
"3306","5.283943013415148","5.283943013415148","5.283943013415148","5.214893298947091","5.214893298947091","5.214893298947091","5.185894753584298","5.185894753584298","5.185894753584298"
"3316","5.168568972129641","5.168568972129641","5.168568972129641","5.209200461079755","5.209200461079755","5.209200461079755","5.144359011324648","5.144359011324648","5.144359011324648"
"3335","5.170881484977756","5.170881484977756","5.170881484977756","5.264428015475339","5.264428015475339","5.264428015475339","5.271855301878251","5.271855301878251","5.271855301878251"
"3341","5.251559163280961","5.251559163280961","5.251559163280961","5.329426882889471","5.329426882889471","5.329426882889471","5.197632697396929","5.197632697396929","5.197632697396929"
"3356","5.267683885102803","5.267683885102803","5.267683885102803","5.266482874640493","5.266482874640493","5.266482874640493","5.136617462105417","5.136617462105417","5.136617462105417"
"3372","5.194602393514224","5.194602393514224","5.194602393514224","5.347054386870515","5.347054386870515","5.347054386870515","5.273902854957543","5.273902854957543","5.273902854957543"
"3417","5.243642989703065","5.243642989703065","5.243642989703065","5.258734708483908","5.258734708483908","5.258734708483908","5.236028147080699","5.236028147080699","5.236028147080699"
"3444","5.277510892896098","5.277510892896098","5.277510892896098","5.394036833342405","5.394036833342405","5.394036833342405","5.233974603343113","5.233974603343113","5.233974603343113"
"3494","5.185453232848675","5.185453232848675","5.185453232848675","5.192881633501582","5.192881633501582","5.192881633501582","5.17597727620231","5.17597727620231","5.17597727620231"
"3506","5.209141204061149","5.209141204061149","5.209141204061149","5.329996514082337","5.329996514082337","5.329996514082337","5.13760240969655","5.13760240969655","5.13760240969655"
"3528","5.09209891458745","5.09209891458745","5.09209891458745","5.258083390367136","5.258083390367136","5.258083390367136","5.171018104198916","5.171018104198916","5.171018104198916"
"3557","5.140140936381725","5.140140936381725","5.140140936381725","","","","5.007420371476906","5.007420371476906","5.007420371476906"
