"Step","gen2-spiking - ppl","gen2-spiking - ppl__MIN","gen2-spiking - ppl__MAX","stateleaky-tuned - ppl","stateleaky-tuned - ppl__MIN","stateleaky-tuned - ppl__MAX"
"18455","","","","17.927662595492187","17.927662595492187","17.927662595492187"
"18666","12.177685617547544","12.177685617547544","12.177685617547544","22.263251017669322","22.263251017669322","22.263251017669322"
"18691","12.572855335821862","12.572855335821862","12.572855335821862","17.332576382303575","17.332576382303575","17.332576382303575"
"18780","11.055183167152604","11.055183167152604","11.055183167152604","18.80429795137115","18.80429795137115","18.80429795137115"
"18799","12.374512904228284","12.374512904228284","12.374512904228284","17.487553307862804","17.487553307862804","17.487553307862804"
"18878","","","","19.714301546433028","19.714301546433028","19.714301546433028"
"19002","14.338618664122505","14.338618664122505","14.338618664122505","18.20677224872703","18.20677224872703","18.20677224872703"
"19092","14.267274555996027","14.267274555996027","14.267274555996027","19.388895586750305","19.388895586750305","19.388895586750305"
"19493","13.79867207551832","13.79867207551832","13.79867207551832","19.112137827712257","19.112137827712257","19.112137827712257"
"19506","","","","18.406911425250954","18.406911425250954","18.406911425250954"
"19547","12.978193569445539","12.978193569445539","12.978193569445539","17.965734203957606","17.965734203957606","17.965734203957606"
"19584","12.464567194831899","12.464567194831899","12.464567194831899","22.681459217669776","22.681459217669776","22.681459217669776"
"19659","14.853052213816964","14.853052213816964","14.853052213816964","19.6182852346465","19.6182852346465","19.6182852346465"
"19804","","","","18.41555075692097","18.41555075692097","18.41555075692097"
"19938","12.843170050083332","12.843170050083332","12.843170050083332","18.320586111688808","18.320586111688808","18.320586111688808"
"20053","12.930570704029549","12.930570704029549","12.930570704029549","18.50153197830431","18.50153197830431","18.50153197830431"
"20129","12.043856856263249","12.043856856263249","12.043856856263249","17.633313478144803","17.633313478144803","17.633313478144803"
"20420","13.49638816808935","13.49638816808935","13.49638816808935","17.926546176996634","17.926546176996634","17.926546176996634"
"20424","14.127758107714508","14.127758107714508","14.127758107714508","17.285991645395796","17.285991645395796","17.285991645395796"
"20436","12.335341349805166","12.335341349805166","12.335341349805166","19.657851819571352","19.657851819571352","19.657851819571352"
"20576","13.09877559986741","13.09877559986741","13.09877559986741","18.423234682813252","18.423234682813252","18.423234682813252"
"20724","13.744281743109722","13.744281743109722","13.744281743109722","17.683702032021944","17.683702032021944","17.683702032021944"
"20762","12.76779162579021","12.76779162579021","12.76779162579021","18.75875614174598","18.75875614174598","18.75875614174598"
"20796","12.901087704631582","12.901087704631582","12.901087704631582","18.235060002431343","18.235060002431343","18.235060002431343"
"20819","12.397526851096167","12.397526851096167","12.397526851096167","20.355945916485865","20.355945916485865","20.355945916485865"
"20827","12.093479811851529","12.093479811851529","12.093479811851529","18.752167187519998","18.752167187519998","18.752167187519998"
"20853","11.932758974707916","11.932758974707916","11.932758974707916","18.527338410312314","18.527338410312314","18.527338410312314"
"20871","12.693781958470558","12.693781958470558","12.693781958470558","18.466070296638684","18.466070296638684","18.466070296638684"
"20977","12.002598964147774","12.002598964147774","12.002598964147774","17.67411041540918","17.67411041540918","17.67411041540918"
"21050","12.773021721584923","12.773021721584923","12.773021721584923","17.119393826623178","17.119393826623178","17.119393826623178"
"21148","12.656261523096813","12.656261523096813","12.656261523096813","16.24883492668922","16.24883492668922","16.24883492668922"
"21409","13.019526387850442","13.019526387850442","13.019526387850442","16.667851501583854","16.667851501583854","16.667851501583854"
"21492","12.181262547058589","12.181262547058589","12.181262547058589","17.593873898787248","17.593873898787248","17.593873898787248"
"21546","12.661989921151017","12.661989921151017","12.661989921151017","16.465637403595743","16.465637403595743","16.465637403595743"
"21573","","","","18.259016843466082","18.259016843466082","18.259016843466082"
"21692","12.532339875797833","12.532339875797833","12.532339875797833","18.62749122721291","18.62749122721291","18.62749122721291"
"21729","12.186923779625383","12.186923779625383","12.186923779625383","17.927686553913084","17.927686553913084","17.927686553913084"
"21954","11.429548137691029","11.429548137691029","11.429548137691029","16.479995228561076","16.479995228561076","16.479995228561076"
"22075","10.804449925427015","10.804449925427015","10.804449925427015","18.14396147552266","18.14396147552266","18.14396147552266"
"22244","13.841316422133875","13.841316422133875","13.841316422133875","18.440728789667848","18.440728789667848","18.440728789667848"
"22284","12.998065268750588","12.998065268750588","12.998065268750588","18.005808738791398","18.005808738791398","18.005808738791398"
"22316","12.184221729688476","12.184221729688476","12.184221729688476","18.050415722236153","18.050415722236153","18.050415722236153"
"22492","12.941241365590953","12.941241365590953","12.941241365590953","16.16474925583944","16.16474925583944","16.16474925583944"
"22634","13.393572980223235","13.393572980223235","13.393572980223235","16.783343228159783","16.783343228159783","16.783343228159783"
"22715","","","","17.33614541460093","17.33614541460093","17.33614541460093"
"22717","","","","15.516907214164691","15.516907214164691","15.516907214164691"
"22846","12.61965157228987","12.61965157228987","12.61965157228987","18.464375738202914","18.464375738202914","18.464375738202914"
"22960","11.520237274643415","11.520237274643415","11.520237274643415","18.16997286487789","18.16997286487789","18.16997286487789"
"23162","","","","17.106820012231413","17.106820012231413","17.106820012231413"
"23225","12.297979783839594","12.297979783839594","12.297979783839594","17.15088537530929","17.15088537530929","17.15088537530929"
"23441","12.098674871878437","12.098674871878437","12.098674871878437","15.62103762179786","15.62103762179786","15.62103762179786"
"23454","","","","16.118113466418528","16.118113466418528","16.118113466418528"
"23508","11.822355782247985","11.822355782247985","11.822355782247985","15.497211081099923","15.497211081099923","15.497211081099923"
"23618","12.025069131034005","12.025069131034005","12.025069131034005","17.53080173363582","17.53080173363582","17.53080173363582"
"23765","12.732182207489666","12.732182207489666","12.732182207489666","15.932034772299108","15.932034772299108","15.932034772299108"
"23864","11.92046750176606","11.92046750176606","11.92046750176606","15.988633527261161","15.988633527261161","15.988633527261161"
"23872","","","","15.985100782786214","15.985100782786214","15.985100782786214"
"23879","13.266414860581573","13.266414860581573","13.266414860581573","17.189133872166657","17.189133872166657","17.189133872166657"
